Date,Close,Open,High,Low,Change %
2018-12-20,69.98,70.697,70.716,69.654,-0.42%
2018-12-19,70.278,70.356,70.481,69.862,-0.48%
2018-12-18,70.62,71.34,71.361,70.421,-1.38%
2018-12-17,71.61,71.9,71.9,71.496,-0.43%
2018-12-16,71.92,71.92,71.92,71.92,0.00%
2018-12-14,71.92,71.55,72.043,71.55,0.55%
2018-12-13,71.53,71.858,71.858,71.456,-0.43%
2018-12-12,71.84,72.283,72.283,71.769,-0.62%
2018-12-11,72.29,72.507,72.507,71.692,-0.32%
2018-12-10,72.52,71.36,72.637,71.24,1.60%
2018-12-09,71.375,71.375,71.375,71.375,0.73%
2018-12-07,70.86,70.57,70.86,70.453,0.01%
2018-12-06,70.85,70.81,71.15,70.745,0.41%
2018-12-05,70.56,70.71,70.75,70.39,0.04%
2018-12-04,70.53,70.5,70.69,70.33,0.13%
2018-12-03,70.44,69.88,70.47,69.88,0.96%
2018-12-02,69.77,69.77,69.77,69.77,0.17%
2018-11-30,69.65,69.695,69.915,69.57,-0.19%
2018-11-29,69.78,70.11,70.145,69.78,-1.22%
2018-11-28,70.64,70.9,70.9,70.58,-0.20%
2018-11-27,70.785,70.815,71.03,70.71,-0.05%
2018-11-26,70.82,70.495,70.905,70.31,0.21%
2018-11-25,70.675,70.675,70.675,70.675,0.03%
2018-11-23,70.655,70.675,70.675,70.655,-0.05%
2018-11-22,70.69,71.135,71.195,70.675,-0.86%
2018-11-21,71.305,71.415,71.415,71.305,-0.17%
2018-11-20,71.43,71.37,71.522,71.287,-0.25%
2018-11-19,71.61,71.925,72.082,71.55,-0.24%
2018-11-18,71.785,71.785,71.785,71.785,-0.27%
2018-11-16,71.98,71.995,71.995,71.715,0.09%
2018-11-15,71.915,72.035,72.185,71.87,-0.55%
2018-11-14,72.31,72.175,72.405,72.005,-0.42%
2018-11-13,72.615,72.795,72.81,72.515,-0.34%
2018-11-12,72.86,72.735,73.067,72.735,0.52%
